"Category","Core Biology","Pathway name (standardized)","Key molecular nodes","Plant","target_included","extract_type","cell_lines","parameter","effect_on_target","source_id","abstract"
"","","","","Angelica sinensis","AMPK","water extraction and ethanol precipitation","HepG2, C57BL/6 mice","","regulated lipid metabolism via AMPK/ACC and PI3K/AKT pathways","27189109; 30232231; 32065782; 38398662; 39551284; 41218379","This study aimed to investigate the therapeutic effects of Angelica sinensis polysaccharide (ASP), an active component derived from a water extract of Angelica sinensis, in high-fat diet (HFD)-fed BALB/c mice. The potential mechanisms underlying the activity of this compound were also considered. Specifically, serum and hepatic biochemical parameters were evaluated, and key proteins involved in the lipid/glucose metabolism were analyzed. Long-term feeding with a HFD induced severe fatty liver and hyperglycemia. Histological examination clearly showed that ASP reduced lipid accumulation in the liver and attenuated hepatic steatosis in HFD-fed mice. In addition, ASP markedly alleviated serum and liver lipid disorders and fatty liver via the upregulation of PPARγ expression and the activation of adiponectin-SIRT1-AMPK signaling. Furthermore, ASP also significantly relieved severe oxidative stress, demonstrating that ASP might attenuate nonalcoholic fatty liver disease via a ""two-hit"" mechanism. In addition, ASP reduced blood glucose levels and ameliorated insulin resistance via the regulation of related metabolic enzymes and by activating the PI3K/Akt pathway in HFD-fed mice. Our findings revealed that ASP might be used as an alternative dietary supplement or health care product to ameliorate metabolic syndrome in populations that consistently consume HFDs."
"","","","","Arabinogalactan","AMPK","","HepG2, mice","1, 2, and 5 mg/mL","enhanced autophagy via AMPK/mTOR-dependent pathway in liver","28452943; 37895018","Intestinal epithelial barrier (IEB) damage is an important aspect in inflammatory bowel disease (IBD). The objective of this study was to explore the protective effects and mechanisms of arabinogalactan (AG) on lipopolysaccharide (LPS)-stimulated IEB dysfunction. The results show that AG (1, 2, and 5 mg/mL) mitigated 100 μg/mL LPS-stimulated IEB dysfunction through increasing transepithelial electrical resistance (TEER), reducing fluorescein isothiocyanate (FITC)-dextran (4 kDa) flux, and up-regulating the protein and mRNA expression of tight junction (TJ) proteins (Claudin-1, Zonula occludens-1 (ZO-1) and Occludin). In addition, AG ameliorated LPS-stimulated IEB dysfunction by reducing interleukin-6 (IL-6), tumor necrosis factor-α (TNF-α), and IL-1β levels, decreasing the reactive oxygen species (ROS) level, increasing superoxide dismutase (SOD) activity, increasing the glutathione (GSH) level, and decreasing the levels of malondialdehyde (MDA) and intracellular calcium ([Ca[2+]]i). Furthermore, 2 mg/mL AG up-regulated the expression of silent information regulator 1 (SIRT1), the phosphorylated adenosine monophosphate-activated protein kinase (AMPK), and peroxisome proliferator-activated receptor gamma coactivator (PGC)-1α and inhibited the phosphorylation of nuclear factor kappa-B (NF-κB) and the inhibitor of NF-κBα (IκBα). Therefore, AG could maintain IEB integrity by activating AMPK/SIRT1 and inhibiting the NF-κB signaling pathway. In conclusion, AG can regulate the AMPK/SIRT1/NF-κB signaling pathway to reduce inflammation and oxidative stress, thus alleviating LPS-stimulated IEB damage."
"","","","","Arabinoxylan","AMPK; SREBP-1c","","Zucker diabetic fatty rats","","changed expressions of adipose AMPK and SREBP-1c","23656567; 41286850","The health-promoting effects of dietary fiber may vary with content, structure, and composition in the diet. The aim was to study how low-fiber wheat bread (WB), wheat bread supplemented with wheat arabinoxylan (AX) or oat β-glucan (BG), whole meal rye bread (RM), and rye bread with kernels (RK) affected central parameters of glucose and lipid metabolism and gene changes of Zucker diabetic fatty rats. Blood glucose response areas after an oral glucose tolerance test were significantly lower after AX (mean ± SEM; 2117 ± 170 mmol/L·180 min), RM (1978 ± 206 mmol/L·180 min), and RK (2234 ± 262 mmol/L·180 min) breads than after WB (3586 ± 100 mmol/L·180 min; p  0.0001). AX, RK, and RM changed expressions of adipose GAPDH, AMPK, FAS, SREBP-1c, and hepatic PCG-1α, whereas BG had similar effects as WB. Thus, arabinoxylan added to wheat bread had beneficial effects on glycemic control as whole grain rye bread in this animal model."
"","","","","Ashitaba","AMPK; GLUT4","","3T3-L1, HepG2, C57BL/6 mice","0.01% and 0.1% (w/w)","increased phosphorylation of AMPK in adipose tissue and liver, upregulated PPARα expression","25406632; 38267744; 39924833","Two main chalcones, 4-hydroxyderricin and xanthoangelol, from Ashitaba, which is a food ingredient and a folk medicine in Asia, have been demonstrated to modulate lipid metabolism in 3T3-L1 and HepG2 cells. In this study, we investigated the effects of Ashitaba extract on adiposity in mice fed a high-fat (HF) diet and its underlying mechanisms based on adipose tissue and hepatic lipid metabolism. C57BL/6 mice were fed a normal or HF diet supplemented with Ashitaba extract (0.01% and 0.1%, w/w) for 16 weeks. Ashitaba extract suppressed the HF diet-induced body weight gain and fat deposition in white adipose tissue, reduced plasma cholesterol, glucose, and insulin levels, increased the adiponectin level, lowered triglyceride and the liver cholesterol content, increased phosphorylation of AMP-activated protein kinase (AMPK) in adipose tissue and liver, inhibited lipogenesis in adipose tissue by down-expression of peroxisome proliferator-activated receptor (PPAR) γ, CCAAT/enhancer-binding protein α and sterol regulatory element-binding protein 1 (SREBP1), inhibited lipogenesis in the liver by down-expression of SREBP1 and its target enzyme fatty acid synthase, and promoted fatty acid oxidation by up-expression of carnitine palmitoyltransferase-1A and PPARα. In conclusion, Ashitaba extract can possibly prevent adiposity through modulating lipid metabolism through phosphorylation of AMPK in adipose tissue and liver."
"","","","","Aspalathus linearis","AMPK","aqueous","mice","10 μg/ml and 100 μg/ml","activated AMPK through regulation of cellular energy homeostasis","21211952; 23639187; 24060217; 25410530; 33605975","Rooibos (Aspalathus linearis) contains a rich complement of polyphenols, including flavonoids, considered to be largely responsible for its health promoting effects, including combatting obesity. The purpose of this study was to examine the effect of fermented rooibos hot water soluble solids on in vitro adipocyte differentiation by using differentiating 3T3-L1 adipocytes. Hot water soluble solids were obtained when preparing an infusion of fermented rooibos at ""cup-of-tea"" strength. The major phenolic compounds (5 mg/g) were isoorientin, orientin, quercetin-3-O-robinobioside and enolic phenylpyruvic acid-2-O-β-D-glucoside. Treatment of 3T3-L1 adipocytes with 10 μg/ml and 100 μg/ml of the rooibos soluble solids inhibited intracellular lipid accumulation by 22% (p0.01) and 15% (p0.05), respectively. Inhibition of adipogenesis was accompanied by decreased messenger RNA (mRNA) expression of PPARγ, PPARα, SREBF1 and FASN. Western blot analysis exhibited decreased PPARα, SREBF1 and AMPK protein expression. Impeded glycerol release into the culture medium was observed after rooibos treatment. None of the concentrations of rooibos hot water soluble solids was cytotoxic, in terms of ATP content. Interestingly, the higher concentration of hot water soluble solids increased ATP concentrations which were associated with increased basal glucose uptake. Decreased leptin secretion was observed after rooibos treatment. Our data show that hot water soluble solids from fermented rooibos inhibit adipogenesis and affect adipocyte metabolism, suggesting its potential in preventing obesity."
"","","","","Astragalus","AMPK","polysaccharide","rat","700 mg/kg/day","activated AMPK","23103623; 25922268; 27902477; 30347867; 39159793; 39167929; 39295942; 40170084; 41537354; 19232424; 19960007; 22728372; 23563695; 30170064; 32431616; 34438030; 34787291; 34962345; 35322740; 35422858; 35726797; 35866893; 35905545; 36059978; 36156425; 36203134; 36588732; 37733667; 38201929; 38972527; 39289935; 40043828; 40617307; 41109591; 41508017","To establish the mechanism underlying the improvement of glucose toxicity by Astragalus polysaccharide (APS), which occurred via an AMP activated protein kinase (AMPK)-dependent pathway. In vivo and in vitro effects of APS on glucose homeostasis were examined in a type 2 diabetes mellitus (T2DM) rat model. The T2DM rat model was duplicated by a high-fat diet (58% fat, 25.6% carbohydrate, and 16.4% protein) and a small dose of streptozotocin (STZ, 25 mg/kg, ip). After APS therapy (700 mg.kg(-1).d(-1), ig) for 8 weeks, blood glucose, glycosylated hemoglobin, and serum insulin were measured. Insulin sensitivity was evaluated by the comprehensive analysis of oral glucose tolerance tests (OGTT) and HOMA IR index. Hepatic glycogen was observed by the PAS staining method. The expression and activity of skeletal muscle AMPKalpha and acetyl-CoA carboxylase (ACC), and the phosphorylation of hepatic glycogen synthase (GS), the glycogen synthase (GS),were measured by Western blotting. Glucose uptake was measured with the 2-deoxy-[(3)H]-D-glucose method in C2C12 cells. The hyperglycemia status, insulin sensitivity, glucose uptake, and activation level of AMPK in diabetic rats were improved in response to APS administration. APS could also alleviate glucose toxicity in cultured mouse cells by the activation of AMPK. APS can alleviate glucose toxicity by increasing liver glycogen synthesis and skeletal muscle glucose translocation in the T2DM rat model, via activation of AMPK."
"","","","","Astragalus membranaceus","ACC","","sliced roots of Angelica sinensis, sliced roots of Astragalus membranaceus, sliced roots of Codonopsis pilosula","","reduced ACC levels via ACC deaminase activity (indirect effect on ACC through bacterial enzyme production)","37145360","Environmental challenges like salinity, drought, fungal phytopathogens, and pesticides directly or/and indirectly influence the environment and agricultural yields. Certain beneficial endophytic Streptomyces sp. can ameliorate environmental stresses and be utilized as crop growth promoters under adverse conditions. Herein, Streptomyces dioscori SF1 (SF1) isolated from seeds of Glycyrrhiza uralensis tolerated fungal phytopathogens and abiotic stresses (drought, salt, and acid base). Strain SF1 showed multifarious plant growth promotion characteristics, including the production of indole acetic acid (IAA), ammonia, siderophores, ACC deaminase, extracellular enzymes, the ability of potassium solubilization, and nitrogen fixation. The dual plate assay showed that strain SF1 inhibited 63.21 ± 1.53%, 64.84 ± 1.35%, and 74.19 ± 2.88% of Rhizoctonia solani, Fusarium acuminatum, and Sclerotinia sclerotiorum, respectively. The detached root assays showed that strain SF1 significantly reduced the number of rotten sliced roots, and the biological control effect on sliced roots of Angelica sinensis, Astragalus membranaceus, and Codonopsis pilosula was 93.33%, 86.67%, and 73.33%, respectively. Furthermore, the strain SF1 significantly increased the growth parameters and biochemical indicators of adversity in G. uralensis seedlings under drought and/or salt conditions, including radicle length and diameter, hypocotyl length and diameter, dry weight, seedling vigor index, antioxidant enzyme activity, and non-enzymatic antioxidant content. In conclusion, the strain SF1 can be used to develop environmental protection biological control agents, improve the anti-disease activity of plants, and promote plant growth in salinity soil within arid and semi-arid regions."
"","","","","Bacillus subtilis","ACC","natto freeze-drying extract, natto water extract","Sprague-Dawley rats","0.5 microM (elevated expression), 5 microM (non-toxic)","exhibited ACC deaminase activity","32286891; 14594796; 23285089; 23648852; 24191643; 25445511; 26642381; 28039230; 28480489; 28588589; 28786221; 29488667; 30805698; 31245241; 32058314; 32117680; 32990816; 33050236; 33513408; 33772716; 33789392; 34629781; 35379908; 35423988; 35578723; 35917513; 36559529; 36662359; 36755700; 36883965; 37002541; 37391650; 37520812; 37706093; 37993648; 38030944; 38086854; 38831110; 39265519; 39301922; 40058417; 40614935; 41315919; 41412655; 41524421","We have demonstrated that 1-deoxynojirimycin (DNJ) isolated from Bacillus subtilis MORI could enhance the levels of adiponectin and its receptors in differentiated 3T3-L1 adipocytes, which has been shown to be effective in lowering blood glucose levels and enhancing insulin sensitivity. DNJ was not toxic to differentiated 3T3-L1 adipocytes for up to a concentration of 5 microM. In terms of expression levels of adiponectin and its receptors (AdipoR1 and AdipoR2), DNJ in concentrations as low as 0.5 microM elevated both mRNA and protein levels of adiponectin and transcript levels of AdipoR1 and AdipoR2. In addition, DNJ increased phosphorylation of 5' adenosine monophosphateactivated protein kinase (AMPK) in a statistically significant manner. Finally, treatment with DNJ resulted in increased mRNA expression of glucose transporter 4 (GLUT4), which encodes for a glucose transporter, along with a significant increase in glucose uptake into the adipocytes based on results of a 2-deoxy-D-[3H] glucose uptake assay. Our findings indicate that DNJ may greatly facilitate glucose uptake into adipose tissues by increasing the action of adiponectin via its up-regulated expression as well as its receptor genes. In addition, the glucose-lowering effects of DNJ may be achieved by an increased abundance of GLUT4 protein in the plasma membrane, as a consequence of the increased transcript levels of the GLUT4 gene and the activation of AMPK."
"","","","","Bifidobacterium breve","AMPK; TNF-α","fermented","C57BL/6J mice","400 mg/kg","inhibited TNF-α gene expression more significantly (p < 0.01) and enhanced hepatic AMPK phosphorylation","31973042","Puerariae Radix (PR), the dried root of Pueraria lobata, is reported to possess therapeutic efficacies against various diseases including obesity, diabetes, and hypertension. Fermentation-driven bioactivation of herbal medicines can result in improved therapeutic potencies and efficacies. C57BL/6J mice were fed a high-fat diet and fructose in water with PR (400 mg/kg) or PR fermented by Bifidobacterium breve (400 mg/kg) for 10 weeks. Histological staining, qPCR, Western blot, and 16s rRNA sequencing were used to determine the protective effects of PR and fermented PR (fPR) against metabolic dysfunction. Treatment with both PR and fPR for 10 weeks resulted in a reduction in body weight gain with a more significant reduction in the latter group. Lactate, important for energy metabolism and homeostasis, was increased during fermentation. Both PR and fPR caused significant down-regulation of the intestinal expression of the MCP-1, IL-6, and TNF-α genes. However, for the IL-6 and TNF-α gene expressions, the inhibitory effect of fPR was more pronounced (p  0.01) than that of PR (p  0.05). Oral glucose tolerance test results showed that both PR and fPR treatments improved glucose homeostasis. In addition, there was a significant reduction in the expression of hepatic gene PPARγ, a key regulator of lipid and glucose metabolism, following fPR but not PR treatment. Activation of hepatic AMPK phosphorylation was significantly enhanced by both PR and fPR treatment. In addition, both PR and fPR reduced adipocyte size in highly significant manners (p  0.001). Treatment by fPR but not PR significantly reduced the expression of PPARγ and low-density lipoproteins in adipose tissue. Treatment with fPR appears to be more potent than that of PR in improving the pathways related to glucose and lipid metabolism in high-fat diet (HFD)+fructose-fed animals. The results revealed that the process of fermentation of PR enhanced lactate and facilitated the enrichment of certain microbial communities that contribute to anti-obesity and anti-inflammatory activities."
"","","","","Black pepper","AMPK","black pepper extract","T84, mice","20, 30 and 40 mg/kg b.wt","did not involve AMPK","26297981; 27812336; 29176994; 29203239; 29683271; 35202296; 35628429","Black pepper or Piper nigrum is a well-known spice, rich in a variety of bioactive compounds, and widely used in many cuisines across the world. In the Indian traditional systems of medicine, it is used to treat gastric and respiratory ailments. The purpose of this investigation is to study the antihyperlipidemic and antiobesity effects of piperonal in high-fat diet (HFD)-induced obese rats. Piperonal, an active constituent of Piper nigrum seeds, was isolated and confirmed by HPLC, [1]H and [13]C NMR spectroscopy. Male SD rats were fed on HFD for 22 weeks; Piperonal was supplemented from the 16th week as mentioned in the experimental design. Changes in body weight and body composition were measured by TOBEC, bone mineral composition and density were measured by DXA, and adipose tissue distribution was measured by 7 T-MRI. Plasma levels of glucose, insulin, insulin resistance and lipid profiles of plasma, liver and kidney, adipocyte hormones and liver antioxidants were evaluated using standard kit methods. Expression levels of adipogenic and lipogenic genes, such as PPAR-γ, FAS, Fab-4, UCP-2, SREBP-1c, ACC, HMG-COA and TNF-α were measured by RT-PCR. Histopathological examination of adipose and liver tissues was also carried out in experimental rats. HFD substantially induced body weight, fat%, adipocyte size, circulatory and tissue lipid profiles. It elevated the plasma levels of insulin, insulin resistance and leptin but decreased the levels of adiponectin, BMC and BMD. Increased expression of PPAR-γ, FAS, Fab-4, UCP-2, SREBP-1c, ACC, and TNF-α was noticed in HFD-fed rats. However, supplementation of piperonal (20, 30 and 40 mg/kg b.wt) for 42 days considerably and dose-dependently attenuated the HFD-induced alterations, with the maximum therapeutic activity being noticed at 40 mg/kg b.wt. Piperonal significantly attenuated HFD-induced body weight and biochemical changes through modulation of key lipid metabolizing and obesogenic genes. Our findings demonstrate the efficacy of piperonal as a potent antiobesity agent, provide scientific evidence for its traditional use and suggest the possible mechanism of action."
"","","","","Camellia sinensis","AMPK; TNF-α","","HepG2","500, 1000, 2000 ppm","increased AMPK protein expression; inhibited TNF-α induced activation of p38, JNK1/2, iNOS, and COX-2","31061619","The aim of this study is to discuss the non-catechin flavonoids (NCF) from Camellia sinensis (L.) O. Kuntze seed improving TNF-α impaired insulin stimulated glucose uptake and insulin signaling. Flavonoids had anti-metabolic syndrome and anti-inflammatory properties. It had widely been known for biological activity of catechins in tea, but very few research reports discussed the biological activity of non-catechin flavonoids in tea seed. We used HepG2 cell to treat with 5 μM insulin or with 5 μM insulin + 30 ng/ml TNF-α. Detecting the glucose concentration of medium, insulin decreased the glucose levels of medium meant that insulin promoted glucose uptake into cells, but TNF-α inhibited the glucose uptake effect of insulin. Furthermore, insulin increased the protein expressions of IR, IRS-1, IRS-2, PI3K-α, Akt/PKB, GLUT-2, AMPK, GCK, pyruvate kinase, and PPAR-γ. TNF-α activated p65 and MAPKs (p38, JNK1/2 and ERK1/2), iNOS and COX-2 which worsened the insulin signaling expressions of IR, IRS-1, IRS-2, PI3K-α, Akt/PKB, GLUT-2, AMPK, GCK, pyruvate kinase, and PPAR-γ. We added NCF (500, 1000, 2000 ppm) to cell with insulin and TNF-α. Not only glucose levels of medium were lowered, and the protein expressions of insulin signaling were increased, but p38, JNK1/2, iNOS and COX-2 were also reduced. NCF could ameliorate TNF-α induced insulin resistance through inhibiting p38, JNK1/2, iNOS and COX-2, and suggested that it might be used in the future to help control insulin resistance. This finding is the first report to present the discovery."
"","","","","Canavalia gladiata","AMPK; SREBP-1c","","3T3-L1","1.0 mg/mL","increased AMPK mRNA expression by 1.9 times and decreased SREBP-1c mRNA expression by 1.1 times","36768430","The aim of this study was to investigate the effect of Canavalia gladiata extract (CGE) on the regulation of AMP-activated protein kinase (AMPK) in 3T3-L1 preadipocytes and evaluate the adipogenesis and lipogenesis mechanisms. In 3T3-L1 preadipocytes, lipid accumulation and differentiation were suppressed by 1.1, 1.3, and 1.4 times under the CGE treatment at 0.25, 0.5, and 1.0 mg/mL, respectively. The expression of the main genes involved in the inhibition of adipogenesis was evaluated at the mRNA level via a transcription-polymerase chain reaction. The extract at 1.0 mg/mL increased the mRNA expressions of AMPK and carnitine palmitoyl transferase-1 (CPT-1) by 1.9 and 1.2 times, respectively, while it decreased the expression of sterol regulatory element binding proteins-1c (SREBP-1c), peroxisome proliferator activated receptor-γ (PPAR-γ), CCAAT enhancer binding protein-α (C/EBP-α), and fatty acid synthase (FAS) by 1.1, 1.2, 1.8, and 1.5 times, respectively, indicating inhibition of the adipogenesis and lipogenesis potential of CGE. Gallic acid (4.02 mg/g) was identified as the main component of the CGE via LC-MS/MS and HPLC analysis. The results of this study suggested that CGE can be utilized as an anti-obesity food additive or medication by activating the AMPK-induced regulation and suppressing adipogenesis transcription factors."
